index,filename,mode,mirror_value,scan_start,scan_stop,grating_low,grating_high,stripe_width_px,split_x,grating_axis
79,079_constMirror_gratingHigh_40766.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,40766,2,256,x
80,080_constMirror_gratingHigh_41282.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,41282,2,256,x
81,081_constMirror_gratingHigh_41798.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,41798,2,256,x
82,082_constMirror_gratingHigh_42314.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,42314,2,256,x
83,083_constMirror_gratingHigh_42830.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,42830,2,256,x
84,084_constMirror_gratingHigh_43346.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,43346,2,256,x
85,085_constMirror_gratingHigh_43862.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,43862,2,256,x
86,086_constMirror_gratingHigh_44378.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,44378,2,256,x
87,087_constMirror_gratingHigh_44894.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,44894,2,256,x
88,088_constMirror_gratingHigh_45410.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,45410,2,256,x
89,089_constMirror_gratingHigh_45926.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,45926,2,256,x
90,090_constMirror_gratingHigh_46442.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,46442,2,256,x
91,091_constMirror_gratingHigh_46958.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,46958,2,256,x
92,092_constMirror_gratingHigh_47474.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,47474,2,256,x
93,093_constMirror_gratingHigh_47990.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,47990,2,256,x
94,094_constMirror_gratingHigh_48506.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,48506,2,256,x
95,095_constMirror_gratingHigh_49022.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,49022,2,256,x
96,096_constMirror_gratingHigh_49538.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,49538,2,256,x
97,097_constMirror_gratingHigh_50054.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,50054,2,256,x
98,098_constMirror_gratingHigh_50570.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,50570,2,256,x
99,099_constMirror_gratingHigh_51086.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,51086,2,256,x
100,100_constMirror_gratingHigh_51602.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,51602,2,256,x
101,101_constMirror_gratingHigh_52118.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,52118,2,256,x
102,102_constMirror_gratingHigh_52634.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,52634,2,256,x
103,103_constMirror_gratingHigh_53150.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,53150,2,256,x
104,104_constMirror_gratingHigh_53666.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,53666,2,256,x
105,105_constMirror_gratingHigh_54182.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,54182,2,256,x
106,106_constMirror_gratingHigh_54699.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,54699,2,256,x
107,107_constMirror_gratingHigh_55215.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,55215,2,256,x
108,108_constMirror_gratingHigh_55731.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,55731,2,256,x
109,109_constMirror_gratingHigh_56247.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,56247,2,256,x
110,110_constMirror_gratingHigh_56763.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,56763,2,256,x
111,111_constMirror_gratingHigh_57279.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,57279,2,256,x
112,112_constMirror_gratingHigh_57795.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,57795,2,256,x
113,113_constMirror_gratingHigh_58311.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,58311,2,256,x
114,114_constMirror_gratingHigh_58827.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,58827,2,256,x
115,115_constMirror_gratingHigh_59343.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,59343,2,256,x
116,116_constMirror_gratingHigh_59859.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,59859,2,256,x
117,117_constMirror_gratingHigh_60375.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,60375,2,256,x
118,118_constMirror_gratingHigh_60891.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,60891,2,256,x
119,119_constMirror_gratingHigh_61407.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,61407,2,256,x
120,120_constMirror_gratingHigh_61923.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,61923,2,256,x
121,121_constMirror_gratingHigh_62439.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,62439,2,256,x
122,122_constMirror_gratingHigh_62955.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,62955,2,256,x
123,123_constMirror_gratingHigh_63471.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,63471,2,256,x
124,124_constMirror_gratingHigh_63987.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,63987,2,256,x
125,125_constMirror_gratingHigh_64503.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,64503,2,256,x
126,126_constMirror_gratingHigh_65019.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,65019,2,256,x
127,127_constMirror_gratingHigh_65535.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,65535,2,256,x
